Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Gestão de Recursos Humanos (regime pós-laboral),1516-8111,143.5,143.5,0.0
Administração Pública e Políticas do Território (regime pós-laboral),1516-8363,128.5,129.0,0.5
Relações Internacionais (regime pós-laboral),1516-8364,155.0,155.5,0.5
Administração Pública,1516-9002,150.0,150.0,0.0
Ciência Política,1516-9019,162.0,162.5,0.5
Ciências da Comunicação,1516-9023,163.5,164.2,0.7
Gestão de Recursos Humanos,1516-9157,156.0,156.5,0.5
Relações Internacionais,1516-9229,168.0,170.0,2.0
Serviço Social,1516-9238,145.0,145.0,0.0
Sociologia,1516-9240,144.0,144.0,0.0
Antropologia,1516-9448,131.0,131.0,0.0
Engenharia Civil,1518-9089,139.5,139.5,0.0
Engenharia de Materiais,1518-9096,153.5,153.5,0.0
Engenharia do Ambiente,1518-9099,142.3,142.0,-0.3
Engenharia Informática e de Computadores,1518-9121,180.0,178.5,-1.5
Engenharia Mecânica,1518-9123,179.3,179.0,-0.3
Engenharia Química,1518-9125,156.5,156.2,-0.3
Arquitetura,1518-9257,156.8,156.5,-0.3
Matemática Aplicada e Computação,1518-9345,179.0,191.8,12.8
Engenharia Biomédica,1518-9455,176.5,176.5,0.0
Engenharia Biológica,1518-9474,166.8,166.8,0.0
Engenharia Naval e Oceânica,1518-L162,172.3,172.8,0.5
Engenharia Eletrotécnica e de Computadores,1518-L209,140.0,140.0,0.0
Engenharia Aeroespacial,1518-L221,187.3,197.2,9.9
Engenharia Física Tecnológica,1518-L233,182.8,190.0,7.2
Engenharia de Minas e Recursos Energéticos,1518-L239,130.3,130.2,-0.1
Engenharia de Telecomunicações e Informática,1519-9098,124.3,124.2,-0.1
Engenharia e Gestão Industrial,1519-9104,169.8,169.8,0.0
Engenharia Informática e de Computadores,1519-9121,174.5,174.5,0.0
Engenharia Eletrónica,1519-9912,120.0,120.0,0.0
Marketing (regime pós-laboral),3011-8005,139.4,139.5,0.1
Contabilidade,3011-9056,144.3,144.5,0.2
Finanças,3011-9140,163.6,167.0,3.4
